sepalLength,sepalWidth,petalLength,petalWidth
645,795,202,80
620,681,202,80
594,727,188,80
582,704,217,80
632,818,202,80
683,886,246,160
582,772,202,120
632,772,217,80
556,659,202,80
620,704,217,40
683,840,217,80
607,772,231,80
607,681,202,40
544,681,159,40
734,909,173,80
721,999,217,160
683,886,188,160
645,795,202,120
721,863,246,120
645,863,217,120
683,772,246,80
645,840,217,160
582,818,144,80
645,749,246,200
607,772,275,80
632,681,231,80
632,772,231,160
658,795,217,80
658,772,202,80
594,727,231,80
607,704,231,80
683,772,217,160
658,931,217,40
696,954,202,80
620,704,217,40
632,727,173,80
696,795,188,80
620,704,217,40
556,681,188,80
645,772,217,80
632,795,188,120
569,522,188,120
556,727,188,80
632,795,231,240
645,863,275,160
607,681,202,120
645,863,231,80
582,727,202,80
670,840,217,80
632,749,202,80
886,727,681,560
810,727,652,600
873,704,710,600
696,522,579,520
822,636,666,600
721,636,652,520
797,749,681,640
620,545,478,400
835,659,666,520
658,613,565,560
632,454,507,400
746,681,608,600
759,499,579,400
772,659,681,560
708,659,521,520
848,704,637,560
708,681,652,600
734,613,594,400
784,499,652,600
708,568,565,440
746,727,695,720
772,636,579,520
797,568,710,600
772,636,681,480
810,659,623,520
835,681,637,560
860,636,695,560
848,681,724,680
759,659,652,600
721,590,507,400
696,545,550,440
696,545,536,400
734,613,565,480
759,613,739,640
683,681,652,600
759,772,652,640
848,704,681,600
797,522,637,520
708,681,594,520
696,568,579,520
696,590,637,480
772,681,666,560
734,590,579,480
632,522,478,400
708,613,608,520
721,681,608,480
721,659,608,520
784,659,623,520
645,568,434,440
721,636,594,520
797,749,869,1000
734,613,739,760
898,681,855,840
797,659,811,720
822,681,840,880
962,681,956,840
620,568,652,680
924,659,913,720
848,568,840,720
911,818,884,1000
822,727,739,800
810,613,768,760
860,681,797,840
721,568,724,800
734,636,739,960
810,727,768,920
822,681,797,720
974,863,971,880
974,590,1000,920
759,499,724,600
873,727,826,920
708,636,710,800
974,636,971,800
797,613,710,720
848,749,826,840
911,727,869,720
784,636,695,720
772,681,710,720
810,636,811,840
911,681,840,640
936,636,884,760
1000,863,927,800
810,636,811,880
797,636,739,600
772,590,811,560
974,681,884,920
797,772,811,960
810,704,797,720
759,681,695,720
873,704,782,840
848,704,811,960
873,704,739,920
734,613,739,760
860,727,855,920
848,749,826,1000
848,681,753,920
797,568,724,760
822,681,753,800
784,772,782,920
746,681,739,720
