OBSCO1_1, OBSCO2_1, OBSCO3_1, OBSCO4_1, OBSCO5_1, OBSCO6_1, cnt, UMat
393,357,722,383,649,390,26,23
377,366,712,391,645,398,0,23
358,378,701,402,640,407,0,24
337,393,689,414,634,418,12,27
316,410,674,429,627,430,13,30
294,430,654,446,617,444,11,33
274,450,632,465,605,458,16,34
257,470,607,484,592,472,12,35
244,489,578,505,578,484,13,36
237,506,548,524,562,494,0,35
235,521,517,543,547,501,0,34
238,533,484,560,532,506,12,33
246,545,453,575,518,509,13,32
257,554,422,588,505,510,11,31
271,563,393,599,494,510,13,30
286,572,364,608,484,508,0,30
303,580,341,614,477,504,11,28
318,588,319,618,471,499,11,26
332,597,300,620,467,494,12,25
345,605,284,620,465,487,21,23
394,349,710,387,633,385,13,23
378,358,701,395,629,393,11,23
360,371,690,405,625,402,0,24
341,387,679,417,619,414,0,27
320,405,664,432,611,428,0,30
299,427,646,449,602,442,0,33
279,449,625,467,591,457,0,34
263,471,601,487,578,472,0,35
252,492,573,506,563,484,0,36
245,511,544,526,549,494,0,35
244,527,514,544,534,502,11,34
247,541,483,561,520,507,12,33
256,554,453,576,508,510,11,32
268,565,424,589,496,511,0,31
282,575,396,600,486,510,0,30
298,585,369,609,478,507,0,30
314,594,347,615,472,503,0,28
330,603,327,619,468,498,0,26
344,612,310,622,465,492,0,25
357,621,295,624,464,486,0,23
396,341,697,393,614,380,14,23
381,351,688,400,610,388,0,23
365,364,678,410,606,398,0,24
346,381,668,421,600,410,0,27
326,401,654,435,593,424,0,30
306,424,637,451,584,440,0,33
288,449,617,469,572,455,0,35
273,473,593,489,560,470,0,36
262,496,567,508,546,484,0,36
257,517,540,527,532,494,0,36
256,535,511,544,519,502,0,34
261,551,481,561,506,507,11,33
269,565,452,576,495,510,0,32
282,579,425,589,486,510,0,31
296,590,399,600,478,508,0,30
312,602,374,609,471,505,0,29
329,611,354,616,467,501,0,28
345,621,336,621,464,495,0,26
359,631,320,624,463,489,0,25
371,640,306,626,463,482,0,23
400,334,683,399,590,375,11,23
386,344,674,406,587,383,0,23
370,358,666,415,583,393,0,25
353,376,655,426,577,406,0,28
335,398,643,439,570,421,0,31
317,422,626,454,561,437,0,34
300,449,607,472,550,453,0,37
287,476,585,490,538,469,0,38
277,501,560,509,526,483,0,38
272,524,534,527,513,494,0,37
272,544,506,544,501,502,12,36
278,562,479,561,490,506,11,34
287,578,452,575,481,508,0,33
300,593,426,588,473,508,0,32
314,607,401,599,468,506,0,31
330,620,379,609,464,502,11,30
346,631,360,615,462,496,0,28
362,641,344,620,461,490,11,27
376,652,330,624,462,483,0,25
388,661,318,626,463,476,11,24
405,329,669,407,562,370,12,24
392,339,660,413,559,378,0,24
379,354,652,421,555,389,0,25
363,373,642,431,550,402,0,29
347,395,630,443,543,417,0,32
331,421,616,457,534,434,0,35
316,451,597,474,524,451,0,39
303,479,576,491,513,467,0,40
295,506,552,509,502,481,0,39
291,531,527,527,491,492,11,38
293,554,501,543,481,500,11,37
299,574,475,559,472,505,11,35
308,592,450,573,465,506,0,34
321,609,426,585,461,505,0,32
335,625,403,597,457,502,11,32
351,639,383,606,456,497,0,31
366,651,366,613,457,490,11,29
381,663,351,618,459,483,0,27
394,674,339,622,460,476,0,26
406,684,329,624,463,468,11,24
411,326,653,416,530,366,0,24
401,337,645,421,527,375,0,24
389,351,637,428,523,385,0,26
375,371,628,436,518,399,0,30
361,395,617,447,511,414,0,33
348,422,603,460,503,431,0,37
335,453,585,475,494,449,11,40
325,483,566,491,484,465,0,41
318,512,544,508,475,480,0,41
316,539,520,524,466,491,11,40
317,564,496,540,458,498,0,38
323,586,472,555,452,502,0,36
332,606,448,569,449,503,0,34
345,625,426,581,447,501,11,33
358,643,405,592,447,497,11,32
373,658,387,601,449,491,11,31
388,671,372,608,452,483,0,29
402,684,359,613,456,476,0,27
414,695,349,617,460,468,0,26
425,706,340,620,464,460,0,24
420,327,639,425,494,364,11,25
411,337,631,430,491,372,0,25
401,352,623,435,487,383,0,27
390,372,614,442,482,396,0,30
379,396,604,451,476,412,0,34
368,425,590,462,469,430,11,38
358,456,574,475,461,448,12,41
350,487,555,490,453,464,0,42
345,518,534,505,445,478,0,42
344,547,513,520,439,489,0,41
346,573,490,535,434,496,0,39
352,597,468,549,432,500,0,37
360,619,446,562,432,499,0,35
371,639,426,575,433,496,0,33
384,658,407,585,437,491,11,32
397,676,391,594,442,484,0,31
411,690,378,600,447,476,0,29
423,704,366,605,453,467,0,27
435,715,357,609,459,459,0,26
445,726,350,611,464,450,13,24
430,330,625,436,457,362,12,25
424,341,617,439,454,371,0,25
416,356,609,443,450,382,0,27
408,376,601,448,445,396,0,31
400,400,591,455,439,412,12,34
392,429,578,464,432,429,0,38
385,460,563,475,425,447,0,41
379,492,544,487,419,463,0,42
375,524,525,500,414,477,0,42
375,554,505,514,411,488,0,41
377,581,485,527,410,494,0,39
383,607,464,541,411,497,0,37
391,630,445,553,415,495,11,35
400,653,426,565,419,491,11,34
411,673,409,575,427,484,0,33
423,691,395,583,435,476,0,31
435,707,383,589,443,467,0,29
446,720,373,593,451,458,11,27
456,733,365,597,459,449,0,25
465,743,359,599,464,440,14,24
444,339,612,446,420,362,13,25
439,349,605,448,417,371,0,25
434,364,597,450,413,382,0,27
429,383,589,453,407,396,11,31
424,407,579,458,401,413,11,34
419,436,566,465,396,430,0,38
414,467,552,473,391,447,11,41
411,498,535,482,386,463,0,42
409,530,517,493,384,477,0,42
409,560,499,505,384,487,0,41
412,588,480,517,386,492,0,39
416,614,462,530,391,494,0,37
422,640,443,542,398,491,12,36
430,662,427,552,407,485,0,34
440,684,412,561,418,477,0,33
449,703,399,568,429,468,0,31
459,720,388,574,439,458,11,30
469,734,380,578,449,449,0,27
478,746,373,581,457,439,0,25
485,757,368,582,465,430,15,24
460,351,601,457,384,363,15,25
457,361,594,456,381,372,0,25
455,376,586,457,377,384,11,27
453,394,577,458,372,398,11,30
450,417,568,460,366,415,0,34
448,445,556,464,362,432,0,37
447,474,542,470,358,449,0,40
445,505,527,477,356,464,0,40
445,535,510,485,356,477,0,40
445,564,494,495,359,486,0,39
447,592,477,505,365,490,0,38
450,619,460,516,373,491,0,37
455,645,443,526,383,487,0,36
462,669,429,536,396,480,0,35
468,691,415,544,410,471,0,33
476,712,404,550,423,461,0,32
484,728,394,555,436,450,0,30
492,743,387,559,447,439,0,28
499,756,381,561,457,429,0,26
505,767,376,561,465,420,11,24
480,367,591,466,352,364,13,25
479,377,584,465,349,374,0,25
479,391,576,463,345,387,0,27
479,408,568,462,340,402,0,30
479,429,558,462,335,418,0,33
479,455,547,463,332,435,0,36
480,482,534,466,330,452,0,38
480,511,520,470,330,467,0,38
481,539,506,476,332,478,0,38
481,567,490,484,338,486,11,37
483,595,475,492,347,489,11,36
485,622,459,501,357,488,0,36
488,648,445,509,371,483,11,36
492,672,432,517,387,475,12,35
497,695,420,524,403,465,0,34
503,716,409,530,418,453,0,33
509,734,400,534,433,442,0,31
515,749,393,536,445,430,0,28
520,762,388,537,456,420,0,26
526,772,384,537,464,410,13,24
503,386,581,475,324,365,11,25
504,395,574,472,321,376,0,25
505,408,567,469,317,390,0,26
507,424,559,466,314,405,0,29
509,443,550,463,310,422,0,31
512,466,539,462,308,439,0,34
513,491,528,462,308,455,0,35
515,516,515,464,309,469,0,35
516,543,502,467,314,479,0,35
517,569,489,472,321,486,11,35
518,596,474,478,332,488,13,35
519,622,461,485,346,486,0,35
521,647,448,491,362,480,0,35
524,672,436,497,379,470,0,35
527,696,425,503,397,459,0,35
531,717,415,507,415,447,0,34
535,735,407,510,430,434,0,32
539,750,401,511,443,422,0,29
543,763,396,511,454,411,0,27
546,774,392,510,463,402,11,24
529,407,572,483,301,366,0,24
530,415,566,478,299,378,0,24
533,426,559,474,296,392,0,26
537,440,552,469,293,408,0,28
540,457,543,465,291,426,0,30
544,476,534,460,290,443,0,31
546,498,523,459,291,458,0,32
548,521,512,458,295,472,0,32
550,545,500,459,300,481,11,32
551,570,488,461,310,487,13,32
552,594,476,464,322,487,0,33
553,620,464,469,338,484,0,33
553,645,452,473,355,477,11,34
555,669,441,477,374,467,0,35
557,694,431,480,393,454,0,35
559,715,421,482,412,441,0,35
562,734,414,484,428,428,0,33
564,749,408,484,442,415,11,30
566,762,404,483,453,404,0,27
568,772,400,481,462,394,12,25
556,429,562,490,285,366,0,24
558,435,557,484,283,379,0,24
562,444,552,478,281,394,0,25
567,456,545,472,280,411,0,27
571,469,538,466,278,429,11,28
575,486,529,460,278,446,0,29
578,505,519,456,281,461,0,29
581,525,509,453,285,474,12,29
582,546,499,452,293,483,0,29
583,569,489,451,304,487,0,29
584,592,479,452,318,487,11,30
585,616,468,454,334,483,0,32
585,641,457,456,352,474,0,34
586,665,446,457,372,463,0,35
587,689,437,458,392,450,0,36
588,711,428,458,411,437,0,35
589,729,422,458,428,423,0,33
589,745,416,456,442,411,0,30
591,758,412,454,453,399,11,28
592,768,409,452,461,389,13,25
584,450,554,496,275,366,11,24
587,454,550,490,274,380,0,24
591,461,544,483,272,396,0,24
596,470,539,475,271,413,0,26
601,482,532,468,270,432,0,27
605,495,525,461,272,449,11,27
608,511,517,454,276,464,11,27
611,528,509,450,282,476,0,27
613,547,500,446,291,484,0,27
614,567,491,443,302,487,0,27
615,589,481,441,317,487,0,29
616,612,471,441,334,482,0,31
616,636,462,440,353,473,0,33
617,660,453,439,373,461,0,35
617,684,444,437,393,448,0,36
617,705,437,435,412,434,0,35
617,723,430,432,429,420,0,33
617,740,424,429,443,408,0,31
617,753,420,426,453,397,0,28
617,762,416,422,461,387,13,25
610,469,545,503,270,365,13,23
614,472,541,496,269,380,11,23
618,477,537,488,269,397,11,24
623,483,533,479,268,415,0,25
628,491,528,470,269,433,0,25
632,502,522,461,271,450,0,25
636,515,515,454,275,465,11,25
639,530,508,447,283,477,11,25
641,547,501,442,292,484,0,25
643,565,493,437,305,488,0,26
644,586,484,433,320,486,0,27
645,608,476,429,337,481,0,30
645,631,467,426,356,472,0,32
646,655,459,422,377,460,0,34
646,678,451,418,397,447,11,35
646,698,444,413,415,433,0,34
646,716,437,409,431,420,0,33
645,732,432,404,445,408,0,31
643,745,428,399,455,397,0,28
642,755,424,394,462,387,15,25
633,485,538,509,273,365,0,22
637,487,535,501,272,380,0,22
642,489,532,493,272,398,11,22
647,494,528,483,272,416,0,23
651,499,524,474,273,435,0,24
655,508,519,464,276,452,0,23
659,518,514,455,281,466,0,23
663,531,508,446,289,477,0,23
666,546,502,439,299,485,0,23
668,563,495,433,312,487,13,24
670,583,487,427,327,486,0,26
671,604,480,421,344,480,0,28
673,626,472,415,363,472,0,31
673,649,464,409,383,460,11,33
674,671,456,402,403,448,11,33
673,691,449,395,420,435,0,33
672,709,443,389,436,422,0,32
671,724,438,382,448,411,0,30
669,736,434,376,458,401,0,27
668,746,430,370,465,392,15,25
655,498,531,516,279,365,13,21
658,499,529,507,279,381,0,21
663,500,527,498,279,399,0,21
667,502,524,488,280,417,0,22
672,506,521,478,281,435,0,22
676,512,517,468,285,452,0,22
681,521,513,457,290,466,0,22
685,532,508,448,298,477,11,22
688,546,502,439,309,484,11,22
691,562,496,430,321,487,0,23
693,580,490,422,336,485,0,25
696,600,483,414,354,480,0,27
698,622,475,406,372,472,0,30
699,643,468,398,392,461,0,31
700,664,461,389,410,449,0,32
699,684,454,380,427,438,0,32
698,701,448,372,442,426,11,30
697,715,443,363,454,416,0,28
695,727,438,355,462,407,11,26
692,737,434,348,469,399,13,24
672,509,525,523,289,368,11,20
676,509,524,514,289,383,0,20
681,508,522,505,289,400,11,21
686,509,520,494,290,419,11,21
691,511,517,484,292,436,0,22
696,516,515,472,296,452,0,22
700,523,511,461,302,466,11,21
705,533,507,450,310,476,0,21
709,545,502,440,320,483,0,21
712,560,497,430,333,485,11,23
715,578,491,420,348,484,11,24
718,597,484,410,365,479,11,27
721,618,477,400,383,472,0,29
723,638,470,389,401,462,0,30
724,658,463,379,419,452,11,30
724,677,457,368,435,442,0,30
722,693,451,358,449,431,0,29
720,707,446,348,460,422,0,27
718,718,441,338,468,415,0,25
715,727,437,330,474,408,11,23
688,519,519,532,303,372,13,20
692,517,518,523,302,387,0,20
696,516,517,513,303,403,0,20
701,515,515,502,303,421,0,21
707,516,514,490,305,438,11,21
712,519,512,478,309,453,0,21
718,525,509,466,315,466,11,21
723,534,505,454,323,475,0,21
727,545,501,442,333,482,0,21
731,559,496,430,346,484,13,22
736,576,491,419,361,483,0,24
739,594,484,407,377,479,0,26
742,613,477,395,395,472,0,28
744,633,471,383,412,464,0,29
745,652,464,371,429,455,0,29
744,669,458,358,444,446,0,28
743,684,452,347,456,437,11,27
741,697,446,335,467,430,0,25
739,708,441,325,474,423,0,23
736,717,437,315,479,418,11,21
701,527,513,543,318,379,15,20
705,524,512,533,318,393,0,20
709,522,511,523,318,408,11,20
715,520,511,511,319,424,11,21
721,520,510,499,321,440,11,21
727,523,508,485,325,454,0,21
733,527,506,472,330,466,0,21
738,535,503,459,338,475,11,21
744,545,499,445,348,481,0,21
749,558,494,433,361,483,0,22
753,573,489,420,375,482,0,23
757,590,483,406,390,479,0,25
759,609,477,393,407,473,11,26
761,627,470,379,423,466,0,27
762,644,463,366,439,458,0,27
762,661,456,352,453,451,0,26
761,675,450,339,464,444,0,25
759,688,445,326,474,437,0,24
756,698,439,314,481,432,0,22
753,706,435,304,486,428,11,20
711,534,507,556,336,389,11,20
715,531,506,546,336,402,11,20
721,528,506,535,336,415,11,20
727,525,505,522,337,430,0,21
733,524,504,509,338,444,0,21
740,525,503,495,342,457,0,21
746,529,502,480,347,467,0,21
753,536,499,465,355,475,0,21
758,545,495,451,364,480,11,21
763,556,491,436,376,482,0,22
768,571,486,422,389,482,0,23
771,586,480,407,404,479,0,24
774,603,474,392,419,474,0,25
776,620,467,377,434,468,11,26
776,637,460,362,449,461,13,26
776,652,453,347,461,455,0,25
775,665,446,332,472,450,0,24
772,676,440,319,481,445,11,22
769,686,435,307,487,441,0,21
766,694,430,295,492,438,13,20
720,541,500,570,356,401,11,20
725,537,499,560,356,412,0,20
730,533,499,549,356,424,0,20
737,530,499,536,356,437,0,21
743,528,499,521,357,449,0,21
751,528,498,506,360,460,0,21
758,530,496,490,365,469,0,21
764,535,494,473,372,476,0,21
770,543,490,457,380,481,11,21
775,554,487,441,391,482,0,21
780,567,481,425,403,482,11,22
783,581,475,409,417,479,0,23
785,597,469,393,431,475,0,24
787,612,462,376,444,470,0,24
787,628,454,359,458,465,12,24
787,641,447,343,469,460,0,24
785,653,440,328,479,455,0,23
782,664,433,314,488,452,0,21
779,672,427,301,493,449,11,20
776,680,422,289,498,447,13,19
727,547,493,587,377,414,11,20
732,542,492,577,377,424,0,20
738,538,492,564,376,435,0,20
744,534,492,550,376,446,0,21
751,531,492,535,377,456,0,22
759,530,491,518,379,465,12,22
766,531,490,501,383,473,13,21
774,535,487,483,389,479,11,21
780,541,484,465,396,482,0,21
784,550,480,448,406,484,0,21
788,562,475,430,417,483,0,22
791,575,469,412,429,481,0,23
794,589,462,395,442,477,11,23
794,603,455,377,454,473,12,24
795,617,447,359,466,469,12,24
793,629,439,341,477,464,0,23
791,640,432,326,486,461,12,22
788,649,424,311,493,458,0,21
785,657,417,297,499,456,0,20
781,663,411,285,503,454,18,19
733,552,485,604,398,429,12,20
738,547,485,593,398,437,0,20
743,542,484,581,397,446,0,21
750,537,484,566,396,455,0,21
758,533,484,550,396,463,11,22
765,531,483,532,398,471,0,22
773,531,482,513,401,477,11,22
780,533,480,494,405,482,11,21
786,538,477,475,412,485,0,21
791,546,473,455,420,486,11,21
794,556,467,436,429,485,0,22
797,567,461,417,440,483,0,22
798,579,454,398,451,480,0,23
799,592,446,379,463,476,0,23
798,604,437,359,474,473,0,24
796,615,428,342,483,469,0,23
793,624,420,325,492,465,0,22
789,632,412,309,499,463,0,21
785,639,405,296,504,461,11,20
781,644,398,283,508,460,12,19
739,557,479,620,420,442,0,20
744,552,478,610,419,449,0,20
749,546,477,596,417,456,0,20
756,540,476,581,416,464,0,21
762,535,476,564,415,471,11,22
770,531,475,545,416,477,0,22
778,529,474,526,418,482,0,22
784,530,471,506,421,486,11,22
790,533,467,485,426,488,13,21
794,539,463,464,433,488,11,21
797,547,457,444,441,488,0,22
799,556,450,423,451,486,0,22
800,567,442,403,461,483,11,23
799,577,433,383,470,479,11,24
797,587,424,362,480,476,11,24
794,597,415,343,489,472,11,24
789,604,405,326,496,469,11,23
785,610,396,311,501,466,0,22
780,616,389,297,506,465,0,21
775,621,382,284,510,464,13,20
745,561,473,635,439,453,11,19
749,555,471,624,437,459,0,19
754,548,470,611,436,465,11,19
760,542,469,596,435,471,0,21
767,535,468,578,434,477,0,21
774,530,467,559,433,482,0,22
781,527,464,538,434,486,0,22
786,526,461,517,436,489,11,22
792,527,457,495,440,491,13,22
795,530,452,474,445,491,11,22
797,536,445,452,452,491,0,22
798,543,438,430,460,488,0,23
797,551,429,409,468,486,11,24
795,559,418,388,476,482,0,25
791,567,408,367,484,478,0,25
787,574,398,347,491,474,0,25
782,581,388,330,498,471,0,25
776,586,379,314,503,469,0,24
771,591,371,300,507,467,0,23
765,595,363,288,510,466,12,22
751,564,468,646,456,462,12,17
754,557,466,636,454,467,11,17
759,550,464,623,453,472,11,18
764,543,462,608,451,477,0,19
770,535,460,590,450,481,0,20
777,529,458,571,449,486,11,21
783,524,455,550,449,489,0,22
788,521,451,528,450,492,0,22
791,520,446,506,452,494,0,22
794,520,439,484,456,494,11,22
795,523,432,461,461,493,12,23
794,528,423,438,467,491,0,24
791,533,413,416,473,488,11,25
787,539,402,394,480,484,0,26
782,545,391,373,487,480,0,27
776,550,380,352,493,476,0,27
770,555,369,335,498,472,11,26
764,560,360,319,502,469,12,25
757,564,351,305,506,467,0,24
751,567,343,293,509,466,0,23
759,565,464,654,471,467,11,16
762,558,461,644,469,471,0,16
765,550,459,631,467,476,0,16
769,542,456,616,465,480,0,18
774,534,454,600,464,484,0,19
779,527,450,581,462,488,0,20
784,520,446,560,462,491,0,21
787,515,441,538,462,494,0,22
790,511,434,516,463,495,0,22
791,509,427,493,465,495,0,23
788,509,417,469,468,495,0,24
786,511,407,446,473,492,11,25
782,514,396,423,478,489,0,26
776,517,384,401,483,485,0,27
769,521,372,380,487,481,0,28
763,525,361,359,492,476,0,28
755,528,350,342,496,471,0,28
748,531,339,326,500,468,0,27
741,534,331,312,502,465,0,26
734,537,323,300,505,463,12,24
770,565,463,656,482,469,16,14
771,558,459,647,481,473,0,14
773,550,456,636,479,476,11,15
776,541,452,622,477,480,0,16
779,532,448,606,475,484,0,18
782,523,443,588,474,488,0,19
785,515,437,567,472,491,0,20
787,507,430,546,472,493,11,21
787,501,422,524,472,495,0,22
785,497,413,501,473,495,0,23
782,494,402,478,475,494,0,25
777,492,390,454,477,492,0,26
771,493,378,431,480,489,0,28
763,494,366,409,483,485,11,28
755,496,353,388,486,480,0,29
747,497,341,367,489,474,0,29
738,500,330,350,492,469,0,29
729,502,320,335,494,465,0,27
722,504,312,321,496,462,0,26
715,507,305,310,498,459,14,25
783,564,465,653,491,467,0,13
783,557,460,646,490,471,11,13
783,548,455,635,488,474,0,13
784,539,450,623,487,478,0,15
786,529,444,608,485,481,11,16
787,519,437,591,483,484,11,18
787,508,429,572,482,488,11,20
786,499,420,551,480,490,12,21
784,490,410,529,479,492,11,23
780,483,399,507,479,492,0,24
774,477,387,485,479,492,0,25
767,473,374,462,479,490,0,27
758,471,360,439,480,487,0,29
749,470,347,417,482,482,0,30
739,470,335,397,483,476,0,30
729,471,323,377,484,471,0,30
719,472,312,360,485,465,11,29
710,474,303,345,486,461,11,28
702,476,295,332,487,456,0,26
695,478,288,321,488,453,12,25
799,562,469,646,497,463,11,13
797,554,463,639,496,466,0,13
796,546,457,631,494,469,0,13
795,536,450,620,493,472,0,14
795,525,442,607,492,476,0,16
793,513,433,590,490,479,0,18
791,501,423,573,488,482,0,20
787,490,411,554,487,484,12,21
781,478,399,533,485,486,0,24
775,468,386,512,483,487,0,25
767,460,372,490,482,486,0,26
757,454,358,468,480,484,0,28
746,449,344,447,479,481,0,29
734,447,331,426,478,477,0,30
723,445,318,406,477,471,0,30
711,445,307,387,477,466,0,30
701,446,297,371,476,460,0,29
691,448,288,356,476,454,11,27
682,450,281,344,476,450,0,26
675,453,274,333,477,447,12,24
817,559,476,634,500,456,11,14
814,552,469,629,499,459,0,14
811,542,461,622,498,462,0,14
809,532,452,613,498,465,12,15
805,520,442,601,496,467,0,17
801,507,430,587,495,470,0,18
796,494,418,571,493,473,0,20
788,479,403,553,491,475,0,23
780,466,389,534,488,477,0,25
771,454,374,514,486,478,0,26
760,443,359,494,483,478,0,27
748,435,344,474,480,477,0,28
735,429,330,454,477,474,0,29
720,425,316,434,474,470,0,30
708,423,305,415,471,464,0,30
695,422,294,398,468,459,0,29
683,423,284,382,466,453,11,28
